indicator_name,indicator_code,thematic_group,n_nonzero_munis,n_missing,raw_min,raw_max,raw_mean,raw_median,rarity_score_ri,floor_0.01_applied,within_group_weight_wi,ahp_group_weight_pct
Zoos,n_Zoo,Culture,1,0,0.0,1.0,0.0047169811320754715,0.0,0.995283,False,0.106941,5.35
Archives,n_Archives,Culture,6,0,0.0,1.0,0.012971698113207548,0.0,0.971698,False,0.105666,5.35
Theaters,n_Theater,Culture,15,0,0.0,1.0,0.013561320754716982,0.0,0.929245,False,0.103332,5.35
Cinemas,n_Cinemas,Culture,17,0,0.0,1.0,0.025943396226415096,0.0,0.919811,False,0.102806,5.35
Book stores,n_Book_Store,Culture,27,0,0.0,1.0,0.015094339622641508,0.0,0.872642,False,0.100136,5.35
Archaeological sites,n_Arch_Site,Culture,30,0,0.0,1.0,0.03419811320754717,0.0,0.858491,False,0.09932,5.35
Religious buildings,n_Religion_B,Culture,43,0,0.0,1.0,0.06415094339622641,0.0,0.79717,False,0.095707,5.35
Libraries,n_Libraries,Culture,64,0,0.0,1.0,0.028563941299790358,0.0,0.698113,False,0.089564,5.35
Museums,n_Museums,Culture,71,0,0.0,1.0,0.054063860667634245,0.0,0.665094,False,0.08742,5.35
Artworks,n_Artwork,Culture,101,0,0.0,1.0,0.016575313587013807,0.0,0.523585,False,0.077565,5.35
Chapels,n_Chapels,Culture,204,0,0.0,1.0,0.1737982929020665,0.125,0.037736,False,0.020823,5.35
Protected cultural heritage sites,n_PCHeritage,Culture,211,0,0.0,1.0,0.09989810005916772,0.06411149825783972,0.01,True,0.010719,5.35
SAZU (Slovenian Academy of Sciences),n_SAZU,Education,1,0,0.0,1.0,0.0047169811320754715,0.0,0.995283,False,0.119839,18.81
Universities,n_University,Education,5,0,0.0,1.0,0.02358490566037736,0.0,0.976415,False,0.118698,18.81
Schools of music,n_School_Mus,Education,6,0,0.0,1.0,0.015723270440251572,0.0,0.971698,False,0.118411,18.81
Schools of arts,n_School_Art,Education,7,0,0.0,1.0,0.02358490566037736,0.0,0.966981,False,0.118123,18.81
Faculties,n_Faculties,Education,11,0,0.0,1.0,0.015566037735849058,0.0,0.948113,False,0.116965,18.81
Student dormitories,n_Dorms,Education,24,0,0.0,1.0,0.010827615780445969,0.0,0.886792,False,0.113119,18.81
Secondary schools,n_Second_Sch,Education,48,0,0.0,1.0,0.020552560646900267,0.0,0.773585,False,0.105652,18.81
Private schools,n_Privat_Sch,Education,56,0,0.0,1.0,0.05660377358490566,0.0,0.735849,False,0.103043,18.81
Kindergartens,n_Kindergard,Education,202,0,0.0,1.0,0.03232108965055264,0.011834319526627219,0.04717,False,0.026089,18.81
Enrolled in kindergarten,n_Enrolled_K,Education,211,0,0.0,1.0,0.03394487991104777,0.017195767195767195,0.01,True,0.012012,18.81
University students,n_Students,Education,211,0,0.0,1.0,0.032874127176412235,0.01636861135541874,0.01,True,0.012012,18.81
Enrolled in secondary school,n_Enrolled_S,Education,211,0,0.0,1.0,0.037485526014018083,0.018430674967882203,0.01,True,0.012012,18.81
Primary schools,n_Primary_Sc,Education,211,0,0.0,1.0,0.0627288087862574,0.03731343283582089,0.01,True,0.012012,18.81
Enrolled in primary school,n_Enroll_Pri,Education,211,0,0.0,1.0,0.03462221338452905,0.01627723812024153,0.01,True,0.012012,18.81
Currency exchange offices,n_Exchange_C,Finance,3,0,0.0,1.0,0.014150943396226415,0.0,0.985849,False,0.342083,8.03
Financial offices,n_Finance_of,Finance,15,0,0.0,1.0,0.02672955974842767,0.0,0.929245,False,0.332118,8.03
Banks,n_Banks,Finance,79,0,0.0,1.0,0.023927958833619208,0.0,0.627358,False,0.272888,8.03
ATMs,n_ATMs,Finance,207,0,0.0,1.0,0.028395107763442465,0.007905138339920948,0.023585,False,0.052911,8.03
Nursing homes,n_Nursing_H,Healthcare,4,0,0.0,1.0,0.018867924528301886,0.0,0.981132,False,0.127251,27.16
Clinics,n_Clinics,Healthcare,12,0,0.0,1.0,0.01088534107402032,0.0,0.943396,False,0.12478,27.16
Hospitals,n_Hospitals,Healthcare,17,0,0.0,1.0,0.04245283018867924,0.0,0.919811,False,0.12321,27.16
Veterinarian offices,n_Veterinary,Healthcare,24,0,0.0,1.0,0.05188679245283019,0.0,0.886792,False,0.120979,27.16
Dentist offices,n_Dentists,Healthcare,42,0,0.0,1.0,0.02234359483614697,0.0,0.801887,False,0.115041,27.16
Doctor offices,n_Doctor_off,Healthcare,47,0,0.0,1.0,0.031204644412191583,0.0,0.778302,False,0.113337,27.16
Number of doctors,n_NumberDr,Healthcare,49,0,0.0,1.0,0.02573957605404146,0.0,0.768868,False,0.112648,27.16
Health centres (dom zdravja),n_Dom_zdrav,Healthcare,55,0,0.0,1.0,0.11108158384267872,0.0,0.740566,False,0.110555,27.16
Pharmacies,n_Pharmacy,Healthcare,177,0,0.0,1.0,0.03456095791001451,0.019230769230769232,0.165094,False,0.052199,27.16
Main courthouse,n_Main_Court,Judiciary and Emergency,1,0,0.0,1.0,0.0047169811320754715,0.0,0.995283,False,0.134707,
Embassies and consulates,n_Emb_Consul,Judiciary and Emergency,2,0,0.0,1.0,0.005213505461767626,0.0,0.990566,False,0.134388,
Higher courts,n_High_Court,Judiciary and Emergency,4,0,0.0,1.0,0.009433962264150943,0.0,0.981132,False,0.133746,
Regional courts,n_Reg_Court,Judiciary and Emergency,11,0,0.0,1.0,0.05188679245283019,0.0,0.948113,False,0.131476,
Police stations,n_Police_sta,Judiciary and Emergency,30,0,0.0,1.0,0.028301886792452827,0.0,0.858491,False,0.125108,
Local courts,n_Local_Cour,Judiciary and Emergency,44,0,0.0,1.0,0.20754716981132076,0.0,0.792453,False,0.1202,
Town halls,n_Town_hall,Judiciary and Emergency,57,0,0.0,1.0,0.08018867924528301,0.0,0.731132,False,0.115456,
Fire stations,n_Fire_stat,Judiciary and Emergency,84,0,0.0,1.0,0.1150943396226415,0.0,0.603774,False,0.104919,
Recycling bins,n_Rec_Bins,Residential,25,0,0.0,1.0,0.007656467990181815,0.0,0.882075,False,0.389943,2.57
Community centres,n_CommunityC,Residential,54,0,0.0,1.0,0.04821802935010483,0.0,0.745283,False,0.358434,2.57
