section,metric,value,note
AHP vs NW (unchanged sanity check),n_agree,5349/6036,
AHP vs NW (unchanged sanity check),cohen_kappa,0.8807777644756993,
AHP vs ML (unchanged sanity check),n_agree,4546/6036,
AHP vs ML (unchanged sanity check),cohen_kappa,0.7471733885095011,
NW vs ML -- BEFORE refit,n_agree,4558/6036,
NW vs ML -- BEFORE refit,cohen_kappa,0.7511085260653547,
NW vs ML -- AFTER refit,n_agree,4767/6036,
NW vs ML -- AFTER refit,cohen_kappa,0.7856273436606817,
NW vs ML -- CHANGE,n_agree,+209 settlements,
NW vs ML -- CHANGE,cohen_kappa,+0.0345,
RF(AHP) vs RF(NW) -- BEFORE refit,n_agree,4876/6036,
RF(AHP) vs RF(NW) -- BEFORE refit,cohen_kappa,0.8047207490479391,
RF(AHP) vs RF(NW) -- AFTER refit,n_agree,4881/6036,
RF(AHP) vs RF(NW) -- AFTER refit,cohen_kappa,0.8053107022898427,
RF(AHP) vs RF(NW) -- CHANGE,n_agree,+5 settlements,User expected a drop. It did not drop -- essentially flat.
RF(AHP) vs RF(NW) -- CHANGE,cohen_kappa,+0.0006,
Moran's I,AHP_vs_NW I,0.18376563233303994,
Moran's I,AHP_vs_NW z,23.681893869312166,
Moran's I,AHP_vs_NW p,0.001,
Moran's I,AHP_vs_ML I,0.4724555807216684,
Moran's I,AHP_vs_ML z,63.705271603135586,
Moran's I,AHP_vs_ML p,0.001,
Moran's I,NW_vs_ML I,0.440285013555723,
Moran's I,NW_vs_ML z,57.182775167448746,
Moran's I,NW_vs_ML p,0.001,
Moran's I,MLAHP_vs_MLNW I,0.3607774267847584,
Moran's I,MLAHP_vs_MLNW z,46.20403383696251,
Moran's I,MLAHP_vs_MLNW p,0.001,
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_NW HH,246,"CAVEAT: AHP_vs_NW's underlying agreement data is UNCHANGED by the NW refit (pure Huff-vs-Huff comparison, no ML involved), yet its LISA counts shifted substantially from the Stage 3 (2026-08-26) run -- HH was 1105, now 246, while LL/HL/LH stayed bit-for-bit identical (296/626/162). This shows esda.Moran_Local's significance flagging (p_sim < 0.05 threshold from conditional permutation) is not fully seed-stable run-to-run, likely because parallel permutation chunk/thread scheduling changed alongside the BLAS backend swap. Quadrant assignment (which class a significant point falls into) is deterministic given the data; whether a point clears the significance threshold is not, for points near that boundary. Treat single-run LISA significant counts as having real Monte Carlo uncertainty, same caveat already documented for global Moran's I's z-score."
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_NW LL,296,"CAVEAT: AHP_vs_NW's underlying agreement data is UNCHANGED by the NW refit (pure Huff-vs-Huff comparison, no ML involved), yet its LISA counts shifted substantially from the Stage 3 (2026-08-26) run -- HH was 1105, now 246, while LL/HL/LH stayed bit-for-bit identical (296/626/162). This shows esda.Moran_Local's significance flagging (p_sim < 0.05 threshold from conditional permutation) is not fully seed-stable run-to-run, likely because parallel permutation chunk/thread scheduling changed alongside the BLAS backend swap. Quadrant assignment (which class a significant point falls into) is deterministic given the data; whether a point clears the significance threshold is not, for points near that boundary. Treat single-run LISA significant counts as having real Monte Carlo uncertainty, same caveat already documented for global Moran's I's z-score."
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_NW HL,626,"CAVEAT: AHP_vs_NW's underlying agreement data is UNCHANGED by the NW refit (pure Huff-vs-Huff comparison, no ML involved), yet its LISA counts shifted substantially from the Stage 3 (2026-08-26) run -- HH was 1105, now 246, while LL/HL/LH stayed bit-for-bit identical (296/626/162). This shows esda.Moran_Local's significance flagging (p_sim < 0.05 threshold from conditional permutation) is not fully seed-stable run-to-run, likely because parallel permutation chunk/thread scheduling changed alongside the BLAS backend swap. Quadrant assignment (which class a significant point falls into) is deterministic given the data; whether a point clears the significance threshold is not, for points near that boundary. Treat single-run LISA significant counts as having real Monte Carlo uncertainty, same caveat already documented for global Moran's I's z-score."
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_NW LH,162,"CAVEAT: AHP_vs_NW's underlying agreement data is UNCHANGED by the NW refit (pure Huff-vs-Huff comparison, no ML involved), yet its LISA counts shifted substantially from the Stage 3 (2026-08-26) run -- HH was 1105, now 246, while LL/HL/LH stayed bit-for-bit identical (296/626/162). This shows esda.Moran_Local's significance flagging (p_sim < 0.05 threshold from conditional permutation) is not fully seed-stable run-to-run, likely because parallel permutation chunk/thread scheduling changed alongside the BLAS backend swap. Quadrant assignment (which class a significant point falls into) is deterministic given the data; whether a point clears the significance threshold is not, for points near that boundary. Treat single-run LISA significant counts as having real Monte Carlo uncertainty, same caveat already documented for global Moran's I's z-score."
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_NW not_significant,4706,"CAVEAT: AHP_vs_NW's underlying agreement data is UNCHANGED by the NW refit (pure Huff-vs-Huff comparison, no ML involved), yet its LISA counts shifted substantially from the Stage 3 (2026-08-26) run -- HH was 1105, now 246, while LL/HL/LH stayed bit-for-bit identical (296/626/162). This shows esda.Moran_Local's significance flagging (p_sim < 0.05 threshold from conditional permutation) is not fully seed-stable run-to-run, likely because parallel permutation chunk/thread scheduling changed alongside the BLAS backend swap. Quadrant assignment (which class a significant point falls into) is deterministic given the data; whether a point clears the significance threshold is not, for points near that boundary. Treat single-run LISA significant counts as having real Monte Carlo uncertainty, same caveat already documented for global Moran's I's z-score."
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_ML HH,338,
"LISA class counts (all four, post-refit + post scipy fix)",AHP_vs_ML LL,820,
