filename,size_bytes,mtime_iso,sha256
"2023tabela.xlsx",2882649,"2026-06-15 14:34:54",cd16691ee69fae6081486ccbecb836434a1d9b8352f5e5b2aca8857df73662a6
"ATMs.cpg",5,"2026-04-29 10:59:28",3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
"ATMs.dbf",2767613,"2026-04-29 10:59:28",72b16ffce3c33155bd9a2446fe21a8b90f03621e205d0b6ae8c3a52ef6b024a6
"ATMs.prj",447,"2026-04-29 10:59:29",5e509df06656ea5c7732dd0f0414fa56b365ebcbdede96a8434d1b940d936753
"ATMs.qmd",3828,"2026-04-29 10:59:29",fa133407e1c0d28f13bbb9709bb222236458ec1eb656d3fd6bd8ed934fe88237
"ATMs.shp",42744,"2026-04-29 10:59:30",2d9a216b99cbc7f43931b6c6f317d576b6519dc5866849adc1418d9b5b11da3c
"ATMs.shx",12284,"2026-04-29 10:59:29",1470b31d5e7e1217742f3bdd4ab5b036bb24d0d229f436a131e7834679afa560
"Addresses.cpg",5,"2026-04-29 10:59:22",3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
"Addresses.cst",5,"2026-04-29 10:59:23",3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
"Addresses.dbf",691444285,"2026-04-29 10:59:36",0b4fe7f64133ba4c48a0449d65e347a6299782a2352e966aabc6c3f6bd5db456
"Addresses.prj",735,"2026-04-29 10:59:22",3cd7c6924e5ba06b42bf094477d160fabe54ac62db3d717b84bb03e860b69e4b
"Addresses.shp",32814364,"2026-04-29 10:59:24",92df4a36132b85e4fca3380ed132e4525c577baabe5f2cf136cb335a909d8b51
"Addresses.shx",9375604,"2026-04-29 10:59:24",42d1cadbf7c54002156fed13750461a4c4615131caae9e92de46cc3226d17ebd
"All_airports.cpg",5,"2026-04-29 10:59:24",3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
"All_airports.dbf",237476,"2026-04-29 10:59:24",c2b19c9a9558b1f336bcfb291e58e92fd377899f03213fef5f9fd73a707fd8f8
"All_airports.prj",447,"2026-04-29 10:59:24",5e509df06656ea5c7732dd0f0414fa56b365ebcbdede96a8434d1b940d936753
"All_airports.qmd",680,"2026-04-29 10:59:25",52852542b66085c1465bb246f901a5a682d3f64225e64487a45dde7ec2492fa7
"All_airports.shp",940,"2026-04-29 10:59:25",ba4698bda070dde82a5eb19ed3a386562879d5aac0d1b13b2d6db0768b67a05f
"All_airports.shx",340,"2026-04-29 10:59:25",7d1e4bfad4ef8276e143fb2328615c403b254317b40436a91395661d8c478cf3
"Archaeological_site.cpg",5,"2026-04-29 10:59:25",3ad3031f5503a4404af825262ee8232cc04d4ea6683d42c5dd0a2f2a27ac9824
"Archaeological_site.dbf",8862,"2026-04-29 10:59:25",9bd60bad09401c662ee7ccf0e14966bb7cf57f80691ebc20f350fe0764459cc1
"Archaeological_site.prj",447,"2026-04-29 10:59:25",5e509df06656ea5c7732dd0f0414fa56b365ebcbdede96a8434d1b940d936753
"Archaeological_site.qmd",3252,"2026-04-29 10:59:26",ebef784573cf1258ffd1618a2c9cd3afca61d77e0dc25e90c1f98245325556e8
