Thematic_group;Indicator_code;Indicator_name;Source;
Culture;n_Zoo;Zoos;OpenStreetMap (OSM);
Culture;n_Archives;Archives;OpenStreetMap (OSM);
Culture;n_Theater;Theaters;OpenStreetMap (OSM);
Culture;n_Cinemas;Cinemas;OpenStreetMap (OSM);
Culture;n_Book_Store;Book stores;OpenStreetMap (OSM);
Culture;n_Arch_Site;Archaeological sites;OpenStreetMap (OSM);
Culture;n_Religion_B;Religious buildings;OpenStreetMap (OSM);
Culture;n_Libraries;Libraries;OpenStreetMap (OSM);
Culture;n_Museums;Museums;OpenStreetMap (OSM);
Culture;n_Artwork;Artworks;OpenStreetMap (OSM);
Culture;n_Chapels;Chapels;OpenStreetMap (OSM);
Culture;n_PCHeritage;Protected cultural heritage sites;OpenStreetMap (OSM);
Education;n_SAZU;SAZU (Slovenian Academy of Sciences);GURS (Geodetska uprava Republike Slovenije);
Education;n_University;Universities;OpenStreetMap (OSM);
Education;n_School_Mus;Schools of music;OpenStreetMap (OSM);
Education;n_School_Art;Schools of arts;OpenStreetMap (OSM);
Education;n_Faculties;Faculties;OpenStreetMap (OSM);
Education;n_Dorms;Student dormitories;OpenStreetMap (OSM);
Education;n_Second_Sch;Secondary schools;OpenStreetMap (OSM);
Education;n_Privat_Sch;Private schools;OpenStreetMap (OSM);
Education;n_Kindergard;Kindergartens;OpenStreetMap (OSM);
Education;n_Enrolled_K;Enrolled in kindergarten;OpenStreetMap (OSM);
Education;n_Students;University students;SURS (Statistièni urad Republike Slovenije);
Education;n_Enrolled_S;Enrolled in secondary school;SURS (Statistièni urad Republike Slovenije);
Education;n_Primary_Sc;Primary schools;OpenStreetMap (OSM);
Education;n_Enroll_Pri;Enrolled in primary school;SURS (Statistièni urad Republike Slovenije);
Finance;n_Exchange_C;Currency exchange offices;OpenStreetMap (OSM);
Finance;n_Finance_of;Financial offices;OpenStreetMap (OSM);
Finance;n_Banks;Banks;OpenStreetMap (OSM);
Finance;n_ATMs;ATMs;OpenStreetMap (OSM);
Healthcare;n_Nursing_H;Nursing homes;GURS (Geodetska uprava Republike Slovenije);
Healthcare;n_Clinics;Clinics;GURS (Geodetska uprava Republike Slovenije);
Healthcare;n_Hospitals;Hospitals;GURS (Geodetska uprava Republike Slovenije);
Healthcare;n_Veterinary;Veterinarian offices;OpenStreetMap (OSM);
Healthcare;n_Dentists;Dentist offices;OpenStreetMap (OSM);
Healthcare;n_Doctor_off;Doctor offices;GURS (Geodetska uprava Republike Slovenije);
Healthcare;n_NumberDr;Number of doctors;ZZZS (Zavod za zdravstveno zavarovanje Slovenije);
Healthcare;n_Dom_zdrav;Health centres (dom zdravja);GURS (Geodetska uprava Republike Slovenije);
Healthcare;n_Pharmacy;Pharmacies;GURS (Geodetska uprava Republike Slovenije);
Judiciary;n_Main_Court;Main courthouse;OpenStreetMap (OSM);
Judiciary;n_Emb_Consul;Embassies and consulates;OpenStreetMap (OSM);
Judiciary;n_High_Court;Higher courts;OpenStreetMap (OSM);
Judiciary;n_Reg_Court;Regional courts;OpenStreetMap (OSM);
Judiciary;n_Police_sta;Police stations;GURS (Geodetska uprava Republike Slovenije);
Judiciary;n_Local_Cour;Local courts;OpenStreetMap (OSM);
Judiciary;n_Town_hall;Town halls;GURS (Geodetska uprava Republike Slovenije);
Judiciary;n_Fire_stat;Fire stations;GURS (Geodetska uprava Republike Slovenije);
Residential;n_Rec_Bins;Recycling bins;OpenStreetMap (OSM);
Residential;n_CommunityC;Community centres;OpenStreetMap (OSM);
Residential;n_Apartments;Apartments (census);SURS (Statistièni urad Republike Slovenije);
Residential;n_Population;Total population;SURS (Statistièni urad Republike Slovenije);
Residential;n_Employ;Employed population;SURS (Statistièni urad Republike Slovenije);
Residential;n_Addresses;Number of addresses;GURS (Geodetska uprava Republike Slovenije);
Residential;n_Density;Population density;Calculated in QGIS (total population / area of municipality);
Sports;n_Outdoor_S;Outdoor shops;OpenStreetMap (OSM);
Sports;n_Swim_Pool;Swimming pools;OpenStreetMap (OSM);
Sports;n_Fitness;Fitness centres;GURS (Geodetska uprava Republike Slovenije);
Sports;n_Stadiums;Stadiums;OpenStreetMap (OSM);
Sports;n_Sport_Hall;Sports halls;OpenStreetMap (OSM);
Sports;n_Bike_Shop;Bicycle shops;OpenStreetMap (OSM);
Sports;n_Sport_Shop;Sports shops;OpenStreetMap (OSM);
Sports;n_Camp_Site;Camp sites;OpenStreetMap (OSM);
Sports;n_Playground;Playgrounds;OpenStreetMap (OSM);
Sports;n_Parks;City parks;OpenStreetMap (OSM);
Sports;n_Bike_paths;Bicycle path length (km);OpenStreetMap (OSM);
Sports;n_Hunt_Stand;Hunting stands;OpenStreetMap (OSM);
Tourism;n_Travel_A;Travel agencies;OpenStreetMap (OSM);
Tourism;n_Gift_Shop;Gift shops;OpenStreetMap (OSM);
Tourism;n_Fast_food;Fast food outlets;OpenStreetMap (OSM);
Tourism;n_Hotels;Hotels;OpenStreetMap (OSM);
Tourism;n_Bakery;Bakeries;OpenStreetMap (OSM);
Tourism;n_Hostels;Hostels and motels;GURS (Geodetska uprava Republike Slovenije);
Tourism;n_Pub_Toilet;Public toilets;OpenStreetMap (OSM);
Tourism;n_Restaurant;Restaurants;OpenStreetMap (OSM);
Tourism;n_Clubs_Bars;Clubs and bars;OpenStreetMap (OSM);
Tourism;n_Tur_arriv;Tourist arrivals;SURS (Statistièni urad Republike Slovenije);
Tourism;n_OvernightS;Overnight stays;SURS (Statistièni urad Republike Slovenije);
Tourism;n_Tur_inf_p;Tourist information points;OpenStreetMap (OSM);
Tourism;n_Apartme_OS;Tourist apartments;OpenStreetMap (OSM);
Trade;n_Kiosk;Kiosks;OpenStreetMap (OSM);
Trade;n_Marketplac;Marketplaces;OpenStreetMap (OSM);
Trade;n_Shp_mall;Shopping malls;OpenStreetMap (OSM);
Trade;n_Thematic_S;Thematic shops;OpenStreetMap (OSM);
Trade;n_Supermarke;Supermarkets;OpenStreetMap (OSM);
Trade;n_Ind_B_Zone;Industrial and business zones;OpenStreetMap (OSM);
