AHP,Healthcare,Education,Trade and Business,Traffic and Communications,Judiciary and Emergency,Finance,Culture,Tourism and Services,Residential,Sports and Recreation
Healthcare,1,2,3,3,4,4,5,6,7,8
Education,0.5,1,2,2,3,3,4,5,6,7
Trade and Business,0.33,0.5,1,1,2,2,3,4,5,6
Traffic and Communications,0.33,0.5,1,1,2,2,3,4,5,6
Judiciary and Emergency,0.25,0.33,0.5,0.5,1,1,2,3,4,5
Finance,0.25,0.33,0.5,0.5,1,1,2,3,4,5
Culture,0.2,0.25,0.33,0.33,0.5,0.5,1,2,3,4
Tourism and Services,0.17,0.2,0.25,0.25,0.33,0.33,0.5,1,2,3
Residential,0.14,0.17,0.2,0.2,0.25,0.25,0.33,0.5,1,2
Sports and Recreation,0.13,0.14,0.17,0.17,0.2,0.2,0.25,0.33,0.5,1
Total,3.3,5.43,8.95,8.95,14.28,14.28,21.08,28.83,37.5,47
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AHP,Healthcare,Education,Trade and Business,Traffic and Communications,Judiciary and Emergency,Finance,Culture,Tourism and Services,Residential,Sports and Recreation,PRIORITY WEIGHTS PER GROUP
Healthcare,0.3,0.37,0.34,0.34,0.28,0.28,0.24,0.21,0.19,0.17,0.2716
Education,0.15,0.18,0.22,0.22,0.21,0.21,0.19,0.17,0.16,0.15,0.1881
Trade and Business,0.1,0.09,0.11,0.11,0.14,0.14,0.14,0.14,0.13,0.13,0.1210
Traffic and Communications,0.1,0.09,0.11,0.11,0.14,0.14,0.14,0.14,0.13,0.13,0.1242
Judiciary and Emergency,0.08,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.11,0.11,0.0803
Finance,0.08,0.06,0.06,0.06,0.07,0.07,0.09,0.1,0.11,0.11,0.0803
Culture,0.06,0.05,0.04,0.04,0.04,0.04,0.05,0.07,0.08,0.09,0.0535
Tourism and Services,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.03,0.05,0.06,0.0367
Residential,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.0257
Sports and Recreation,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.0188
Total,1,1,1,1,1,1,1,1,1,1,1.0002
,,,,,,,,,,
,,,,,,,,,,
CR = 0.024,λ_max = 10.322,CI = 0.036,RI = 1.49 (n=10).,,,,,,,
