Indicator_code,Indicator_name,Thematic_group,Nonzero_munis,Nonzero_pct,Rarity_score_ri,Sqrt_ri,Normalised within-group weight (w_i)
n_Zoo,Zoos,Culture,1,0.5,0.9952830188679245,0.9976387216161592,0.10694082374965617
n_Archives,Archives,Culture,6,2.8,0.9716981132075472,0.9857474895770961,0.10566615575401579
n_Theater,Theaters,Culture,15,7.1,0.9292452830188679,0.963973694152941,0.10333213686685441
n_Cinemas,Cinemas,Culture,17,8.0,0.9198113207547169,0.9590679437634838,0.10280627016141132
n_Book_Store,Book stores,Culture,27,12.7,0.8726415094339622,0.9341528298056814,0.10013552096860975
n_Arch_Site,Archaeological sites,Culture,30,14.2,0.8584905660377359,0.926547659884658,0.09932029285196968
n_Religion_B,Religious buildings,Culture,43,20.3,0.7971698113207547,0.8928436656664787,0.09570742896923387
n_Libraries,Libraries,Culture,64,30.2,0.6981132075471699,0.8355316915277181,0.0895639327392668
n_Museums,Museums,Culture,71,33.5,0.6650943396226415,0.8155331627975907,0.08742021168088968
n_Artwork,Artworks,Culture,101,47.6,0.5235849056603774,0.7235916705299871,0.07756464101504583
n_Chapels,Chapels,Culture,204,96.2,0.037735849056603765,0.19425717247145283,0.020823191395100027
n_PCHeritage,Protected cultural heritage sites,Culture,211,99.5,0.01,0.1,0.010719393847946651
n_SAZU,SAZU (Slovenian Academy of Sciences),Education,1,0.5,0.9952830188679245,0.9976387216161592,0.11983904052001611
n_University,Universities,Education,5,2.4,0.9764150943396226,0.9881371839677032,0.11869769031920276
n_School_Mus,Schools of music,Education,6,2.8,0.9716981132075472,0.9857474895770961,0.11841063381598034
n_School_Art,Schools of arts,Education,7,3.3,0.9669811320754716,0.9833519878840291,0.11812287972400186
n_Faculties,Faculties,Education,11,5.2,0.9481132075471698,0.9737110493093779,0.11696478430983535
n_Dorms,Student dormitories,Education,24,11.3,0.8867924528301887,0.9416965821485117,0.11311912059992786
n_Second_Sch,Secondary schools,Education,48,22.6,0.7735849056603774,0.8795367562872954,0.1056523155043599
n_Privat_Sch,Private schools,Education,56,26.4,0.7358490566037736,0.8578164469184382,0.10304321365399763
n_Kindergard,Kindergartens,Education,202,95.3,0.047169811320754707,0.21718612138153465,0.026088979744554142
n_Enrolled_K,Enrolled in kindergarten,Education,211,99.5,0.01,0.1,0.012012268361624811
n_Students,University students,Education,211,99.5,0.01,0.1,0.012012268361624811
n_Enrolled_S,Enrolled in secondary school,Education,211,99.5,0.01,0.1,0.012012268361624811
n_Primary_Sc,Primary schools,Education,211,99.5,0.01,0.1,0.012012268361624811
n_Enroll_Pri,Enrolled in primary school,Education,211,99.5,0.01,0.1,0.012012268361624811
n_Exchange_C,Currency exchange offices,Finance,3,1.4,0.9858490566037735,0.9928993184627399,0.3420834158544327
n_Finance_of,Financial offices,Finance,15,7.1,0.9292452830188679,0.963973694152941,0.3321176759393948
n_Banks,Banks,Finance,79,37.3,0.6273584905660378,0.7920596508887685,0.27288816287637246
n_ATMs,ATMs,Finance,207,97.6,0.02358490566037741,0.15357377920848797,0.052910745329799995
n_Nursing_H,Nursing homes,Healthcare,4,1.9,0.9811320754716981,0.9905211130872972,0.12725095219962865
n_Clinics,Clinics,Healthcare,12,5.7,0.9433962264150944,0.9712858623572642,0.12477982469022485
n_Hospitals,Hospitals,Healthcare,17,8.0,0.9198113207547169,0.9590679437634838,0.12321020466454946
n_Veterinary,Veterinarian offices,Healthcare,24,11.3,0.8867924528301887,0.9416965821485117,0.12097852855254874
n_Dentists,Dentist offices,Healthcare,42,19.8,0.8018867924528301,0.8954813188742857,0.11504131411047407
n_Doctor_off,Doctor offices,Healthcare,47,22.2,0.7783018867924528,0.8822141955287576,0.11333690412227466
n_NumberDr,Number of doctors,Healthcare,49,23.1,0.7688679245283019,0.8768511416017555,0.11264791959696568
n_Dom_zdrav,Health centres (dom zdravja),Healthcare,55,25.9,0.7405660377358491,0.8605614665646197,0.11055520634521357
n_Pharmacy,Pharmacies,Healthcare,177,83.5,0.16509433962264153,0.40631802768600056,0.052199145718120406
n_Main_Court,Main courthouse,Judiciary and Emergency,1,0.5,0.9952830188679245,0.9976387216161592,0.13470718754838532
n_Emb_Consul,Embassies and consulates,Judiciary and Emergency,2,0.9,0.9905660377358491,0.9952718411247498,0.13438759709208828
n_High_Court,Higher courts,Judiciary and Emergency,4,1.9,0.9811320754716981,0.9905211130872972,0.13374612518560916
n_Reg_Court,Regional courts,Judiciary and Emergency,11,5.2,0.9481132075471698,0.9737110493093779,0.13147632915126506
n_Police_sta,Police stations,Judiciary and Emergency,30,14.2,0.8584905660377359,0.926547659884658,0.1251080443132817
n_Local_Cour,Local courts,Judiciary and Emergency,44,20.8,0.7924528301886793,0.8901981971385244,0.12019992097230496
n_Town_hall,Town halls,Judiciary and Emergency,57,26.9,0.7311320754716981,0.8550626149421445,0.115455703092628
n_Fire_stat,Fire stations,Judiciary and Emergency,84,39.6,0.6037735849056604,0.7770286898858113,0.1049190926444376
n_Rec_Bins,Recycling bins,Residential,25,11.8,0.8820754716981132,0.9391887306064278,0.3899431478997407
n_CommunityC,Community centres,Residential,54,25.5,0.7452830188679245,0.8632977579421393,0.3584338635424021
n_Apartments,Apartments (census),Residential,203,95.8,0.04245283018867929,0.20604084592303365,0.08554640131092234
n_Population,Total population,Residential,211,99.5,0.01,0.1,0.04151914681173369
n_Employ,Employed population,Residential,211,99.5,0.01,0.1,0.04151914681173369
n_Addresses,Number of addresses,Residential,211,99.5,0.01,0.1,0.04151914681173369
n_Density,Population density,Residential,211,99.5,0.01,0.1,0.04151914681173369
n_Outdoor_S,Outdoor shops,Sports and Recreation,9,4.2,0.9575471698113207,0.9785433918898644,0.10048463117339858
n_Swim_Pool,Swimming pools,Sports and Recreation,13,6.1,0.9386792452830188,0.968854604821084,0.09948970933018453
