Muni_Name,AHP_Huff_size,NW_Huff_size,RF_AHP_target_size,RF_NW_target_size,rank_AHP_Huff_size,rank_NW_Huff_size,rank_RF_AHP_target_size,rank_RF_NW_target_size
Ljubljana,1216,1016,277,270,1,1,2,1
Novo mesto,271,202,382,236,2,2,1,2
Maribor,226,185,260,168,3,3,3,5
Celje,218,158,200,121,4,7,5,13
Ptuj,210,167,119,202,5,4,14,3
Krško,167,167,153,156,6,4,9,8
Črnomelj,149,167,143,158,7,4,10,7
Brežice,126,123,128,125,8,9,12,12
Trebnje,126,128,155,165,8,8,8,6
Murska Sobota,116,98,142,138,10,11,11,11
Koper,113,110,116,111,11,10,16,15
Nova Gorica,110,85,92,82,12,16,20,22
Kranj,98,81,163,139,13,17,7,10
Sevnica,85,92,83,88,14,13,21,21
Slovenska Bistrica,85,91,70,108,14,14,25,16
Rogaška Slatina,82,62,95,70,16,25,18,24
Sežana,81,68,65,45,17,23,29,35
Litija,77,70,177,103,18,22,6,17
Ivančna Gorica,74,98,119,144,19,11,14,9
Kočevje,71,77,120,91,20,18,13,20
Kamnik,69,75,211,169,21,19,4,4
Ilirska Bistrica,69,73,77,80,21,20,22,23
Šentjur,69,87,95,115,21,15,18,14
Slovenske Konjice,65,56,114,68,24,28,17,25
