Village_ID,Village_Name,dominant_municipality,dominant_Pij,dominant_dist_m
10127637,Črna na Koroškem,Črna na Koroškem,0.9999998646805549,0.0
10110084,Ljubljana,Ljubljana,0.9999999956080141,0.0
10104505,Kalce,Krško,0.41036038331157043,8701.792668562462
10104262,Gorenja Lepa vas,Krško,0.43273812299838743,8395.28838438458
10133335,Mostečno,Ptuj,0.16155316983840298,2791.3895501406932
10124824,Medvedce,Ptuj,0.21307505201369434,4083.5839235760086
10123160,Gorenje,Postojna,0.4358472918348845,9309.818607783449
10088470,Zavrh,Ljubljana,0.3031630910459569,8148.186911503358
10090431,Zastava,Črnomelj,0.6693987296711479,5230.310306384454
10089514,Mihelja vas,Črnomelj,0.5247932570992879,5653.067694980449
10112915,Škrlovica,Ljubljana,0.2726679646275024,4859.988195172763
10128439,Junčje,Ljubljana,0.2603025959948765,5163.528812387917
10090920,Jasen,Ljubljana,0.3105634081296837,5000.161275779923
10125901,Zgornja Hajdina,Hajdina,0.9999979431744751,0.0
10088461,Zales,Ljubljana,0.2500779446199276,8796.937785221135
10119022,Dolenjske Toplice,Dolenjske Toplice,0.9999997918957906,0.0
10122996,Parecag,Piran,0.3301899372954892,8623.082188764352
10125910,Zgornja Pristava,Ptuj,0.4212371882166827,6209.304862001796
10146054,Tirna,Ljubljana,0.16596307718586573,10614.417571783606
10145490,Dolenja vas,Zagorje ob Savi,0.8047538620307204,1571.597292335204
10147913,Radizel,Maribor,0.3783933417523871,3391.621474554135
10139058,Kristan Vrh,Rogaška Slatina,0.44775426550472985,5736.830107038371
10117232,Deskle,Nova Gorica,0.34073419705957747,4842.401974962773
10140951,Ljubinj,Tolmin,0.725127831336215,5414.627017344138
10092558,Trbonje,Muta,0.21539152561070535,5580.6889730228595
10123879,Biš,Ptuj,0.226681626921395,3510.2403244100415
10140307,Zgornje Negonje,Rogaška Slatina,0.43214881183549636,7161.704000668957
10123925,Bratislavci,Ptuj,0.24265981537235198,4931.469251720485
10128960,Zamostec,Sodražica,0.6104091925743811,1316.6917162374323
10105145,Ravno,Krško,0.19984091906752677,8060.976529261131
10110815,Spodnja Senica,Ljubljana,0.3666407584964499,3067.0886180360308
10110700,Polje pri Vodicah,Ljubljana,0.4618742806948496,3163.1661289318745
10110785,Skaručna,Ljubljana,0.5570799044586884,4153.744969613556
10146836,Podvrh,Velenje,0.13883817828043826,3193.24756921251
10146569,Liboje,Celje,0.4139269930743822,6852.507412770445
10117372,Gradišče nad Prvačino,Nova Gorica,0.27725007617440295,4943.51954486474
10111773,Kamnik pod Krimom,Ljubljana,0.5318000009045726,6704.439806972663
10141842,Arčelca,Ljubljana,0.1747012313781378,6673.375918672992
10089565,Močile,Črnomelj,0.1910542518005803,16670.467152577614
10136628,Dorfarje,Kranj,0.32199326964683916,3892.510158178616
10113628,Moravci v Slov. goricah,Ptuj,0.17862114949357347,6298.504377001534
10137314,Opale,Ljubljana,0.2743593669955237,5922.3770939874275
10137462,Poljane nad Škofjo Loko,Ljubljana,0.2394539188207252,3722.3824596175773
10138272,Žirovski Vrh Sv. Antona,Gorenja vas-Poljane,0.2018058135438454,4323.589486203095
10135567,Ostrožno pri Ponikvi - del,Šentjur,0.12385870205942673,8805.893765763481
10135257,Grušce,Celje,0.16649088002346032,10350.88978905233
10145848,Potoška vas,Zagorje ob Savi,0.3822718943415046,3838.780553258363
10139511,Pristava pri Mestinju,Rogaška Slatina,0.32101104089521154,5554.215880562483
10130573,Coljava,Sežana,0.19972156322831222,4712.8255180857395
10147824,Pivola,Hoče-Slivnica,0.42124584382415226,2083.905707007495
10148251,Zgornji Duplek,Maribor,0.4681929860707146,1916.524956871058
10115663,Bukovnica,Murska Sobota,0.26451653848945655,5822.092235954675
10122082,Cvetkovci,Ormož,0.24967457058859394,4767.894473328959
10096324,Godovič,Ljubljana,0.20209607046367642,10507.760710900431
10100313,Nemška Loka,Ljubljana,0.13918291255743917,20486.159164312896
10099803,Hrib pri Koprivniku,Kočevje,0.14672914400938378,16483.472688641505
10139635,Roginska Gorca,Rogaška Slatina,0.18288733465032808,5382.729737677671
10132967,Hošnica,Slovenska Bistrica,0.18513467942440784,2335.0047740634054
10138973,Kamence,Rogaška Slatina,0.6854147036458685,3958.6755446804927
10139236,Nimno,Rogaška Slatina,0.48262474684877654,6404.805131990607
10139406,Poklek pri Podsredi,Krško,0.18242496746241244,7562.89660808319
10085390,Pavlova vas,Brežice,0.26184408325414227,13249.035004460788
10145074,Brezovica pri Borovnici,Borovnica,0.36078747308812653,2606.2870523944375
10123488,Postojna,Postojna,0.9999999821415463,0.0
10121744,Vrh pri Ljubnu,Novo mesto,0.59282160301527,5125.143204321683
10132703,Brezje pri Oplotnici,Zreče,0.27450692645602065,2071.2521360725336
10092744,Galušak,Ptuj,0.14610785321362205,4992.568864585745
10114136,Vrh Sv. Treh Kraljev,Ljubljana,0.31746159993459294,8780.228500518733
10115027,Lepa Njiva,Velenje,0.1617446062257057,6173.002236477559
10147760,Morje,Maribor,0.31936239848792564,5519.105689699965
10131227,Krtinovica,Sežana,0.1609192859017357,14075.082910186049
10131090,Kodreti,Ajdovščina,0.19073808224822403,10195.19656400538
10087309,Dane,Cerknica,0.17105628685729268,3704.756271765686
10088534,Klance,Cerknica,0.20154825101912607,6111.224782244307
10092892,Janžev Vrh,Gornja Radgona,0.2321117986456397,4887.298676954066
10116376,Murski Črnci,Murska Sobota,0.7121931453995154,3081.5540348872632
10097720,Blejska Dobrava,Jesenice,0.5891751006821154,4450.7887879665905
10097835,Kočna,Jesenice,0.4471372255706846,4952.556512404201
10126533,Bled,Bled,0.9999998689968397,0.0
10103665,Zgornje Jezersko,Jezersko,0.999999634519238,0.0
10112672,Selo pri Robu,Ljubljana,0.3843079601273913,11792.690725579669
10098050,Bela,Ljubljana,0.1842826161705368,9148.758330720018
10098980,Šmarca,Kamnik,0.45971258292011924,3900.052699480619
10084296,Planina,Ajdovščina,0.5833459519761984,5140.459282748175
10091608,Selo pri Moravčah,Ljubljana,0.3416950879123934,4088.6158017215043
10144655,Gaberke,Šoštanj,0.3686793695164045,3350.458938429885
10132533,Spodnji Razbor,Slovenj Gradec,0.22633625299179305,12494.246554259058
10085403,Pečice,Krško,0.22918523365437282,10840.110368108433
10097649,Dobrava,Izola,0.5849654895160736,2921.389501974351
10102197,Srgaši,Koper,0.6090369818960067,7347.275820852104
10125766,Veliki Okič,Ptuj,0.34823538298966683,4662.134712749027
10124697,Ljubstava,Ptuj,0.4186178681219925,4558.84960980336
10142881,Lisec,Žužemberk,0.2772379988277494,4258.113652798896
10141427,Stržišče,Ljubljana,0.17725928114913161,20182.30696266482
10141265,Rut,Ljubljana,0.15666759518512458,23243.6868512177
10140668,Hudajužna,Ljubljana,0.1622384688656065,15331.77456733811
10096898,Zakojca,Cerkno,0.15460056450599258,9914.502833148767
10092540,Tolsti Vrh p. R. na K. - del,Dravograd,0.45094190993467487,4591.506098064016
10126363,Remšnik,Radlje ob Dravi,0.19361304859299922,7964.4758782787085
10149304,Zgornji Boč,Maribor,0.419538455026695,3382.442472538668
10149266,Veliki Boč,Maribor,0.42400122289129083,11565.187057748064
10111200,Boštetje,Ljubljana,0.36228890931853,10512.641059088272
10143748,Ševnica,Trebnje,0.2743027229813257,3607.628508063588
10142989,Mala Ševnica,Trebnje,0.4960012878158724,4502.642247859256
10146496,Kapla,Tabor,0.10722838550733024,1773.2242751345414
10146615,Loke,Tabor,0.1255403496964277,1767.0419547305883
10146348,Drešinja vas,Celje,0.4570828044319806,3515.1775968996985
10125570,Stražgonjca,Ptuj,0.2042020879302291,6244.485275356056
10119421,Gorenje Mraševo,Novo mesto,0.4686197013352742,5794.161350743984
10113997,Hlevni Vrh,Ljubljana,0.3082825856946702,10022.416016141833
10136733,Goli Vrh,Ljubljana,0.3279098254290674,7808.3440623366105
10134650,Radana vas,Zreče,0.5654967133669224,2054.4013621614217
10135532,Okrog,Šmarje pri Jelšah,0.21963732404472902,6121.43594654507
10125219,Repišče,Ptuj,0.39482738185562355,5646.438787090648
10131286,Lukovec,Nova Gorica,0.15296259180798238,12549.72189965668
10149258,Spodnji Slemen,Maribor,0.5524069107098675,2653.914223542075
10107245,Lokavec,Maribor,0.2695213755626627,6584.7864312878755
10107776,Žice,Lenart,0.25611403126017046,3156.8362169873267
10148782,Spodnji Jakobski Dol,Maribor,0.5205203660302261,5751.206022809643
10089921,Rožni Dol,Novo mesto,0.2348135687034526,7374.130508754728
10126126,Sv. Trije Kralji,Radlje ob Dravi,0.22036258548522702,7517.633155322429
10148049,Spodnja Gorica,Maribor,0.2082412848933845,5049.665274126711
10129826,Pijavice,Mokronog-Trebelno,0.1452083056384211,3660.0144396210253
10142709,Hrastovica,Mokronog-Trebelno,0.11255526718542494,4235.1912053767455
10103878,Brezovica v Podbočju,Brežice,0.30770761232763283,9469.56395549279
10145104,Dragomer,Log-Dragomer,0.9999971942130395,0.0
10146267,Čreta,Ljubljana,0.11010546606082304,7315.389077097296
10115469,Volog,Ljubljana,0.12239319037525867,6891.463847295453
10135940,Straža na Gori,Celje,0.1744075733195848,10458.491807785169
10135044,Brdo,Celje,0.11875316074677301,5499.489471660054
10097363,Prelože,Ilirska Bistrica,0.246399684201793,12481.265363289733
10097088,Huje,Ilirska Bistrica,0.21572822015624735,14213.743211570907
10116252,Markovci,Gornji Petrovci,0.1884631527425387,5882.078169385823
10115507,Adrijanci,Gornji Petrovci,0.3630163907841783,3273.811727940776
10116198,Lipovci,Murska Sobota,0.42885371641389985,3221.791233917961
10106982,Cogetinci,Cerkvenjak,0.24814445506740887,2902.5908730930437
10113407,Gibina,Razkrižje,0.23242593329233283,1154.1102705222372
10091438,Prevoje pri Šentvidu,Domžale,0.3238784699484073,2525.708209040339
10091926,Učak,Ljubljana,0.21976423432845013,10919.429564661023
10103487,Tupaliče,Kranj,0.32664830064370476,2307.1059029108383
10126282,Sv. Anton na Pohorju,Radlje ob Dravi,0.2014894570195544,10012.183212602884
10092370,Črneška Gora,Dravograd,0.37990269618438804,6086.037178371084
10139643,Rudnica,Podčetrtek,0.09302668569331232,9215.634544501141
10114586,Mlake,Črnomelj,0.31253546783082203,9286.867291714625
10148278,Zimica,Maribor,0.49823797191308383,6350.847227976286
10142156,Dobrava,Žužemberk,0.2367615003386568,4521.952632006666
10127394,Ukanc,Bohinj,0.23450785717240602,10900.8845367142
10127084,Polje,Bohinj,0.6724983377686887,3766.1371223106066
10137152,Leskovica,Ljubljana,0.2216367588221094,9759.427003975517
10115051,Logarska Dolina,Ljubljana,0.19526384257732612,6861.933550465516
10084083,Gaberje,Ajdovščina,0.3391122036694935,8705.558089873604
10084300,Podbreg,Ajdovščina,0.14478049148757158,8545.665831902055
10131804,Selo,Sežana,0.2386659307329315,16845.44964529414
10122341,Lahonci,Ormož,0.17660446111668188,4045.7933564120517
10122228,Hermanci,Ljutomer,0.3829099079608022,5784.229505053697
10096693,Podlanišče,Cerkno,0.2213425305877036,6862.411603574635
10137322,Osojnica,Žiri,0.3963538563800989,2139.4804235684132
10096391,Govejk,Idrija,0.19045453050382533,4720.809772337456
10114900,Florjan pri Gornjem Gradu,Gornji Grad,0.16660283618119257,4799.176528046796
10130263,Velika Hubajnica,Sevnica,0.1831542076755631,8675.750898899
10103142,Predoslje,Kranj,0.6338125803456969,4486.698047973263
10102855,Mače,Preddvor,0.7258979554383382,841.4698090723641
10127904,Ravne na Koroškem,Ravne na Koroškem,0.9999999062315731,0.0
10149070,Črešnjevec ob Dravi,Selnica ob Dravi,0.3534650076903854,2132.931405475967
10148634,Podigrac,Maribor,0.45012587863295767,4544.162621450079
10148405,Gradiška,Maribor,0.7321198602302843,4701.177738044613
10110491,Zagorica pri Dolskem,Ljubljana,0.47782459481497186,6865.638361983467
10113121,Zapotok,Ljubljana,0.5000948817446208,12370.502088375171
10111536,Gorenje Blato,Ljubljana,0.5120364333276859,4031.586213263452
10113113,Zalog pri Škofljici,Škofljica,0.5025514028571155,1973.3169182734237
10111501,Glinek,Ljubljana,0.4341083020870181,2687.082684988854
10148880,Štrihovec,Maribor,0.4222444045167099,3095.373126542715
10147182,Zahomce,Vransko,0.5222304364747636,1847.2167122247931
10130522,Brezovo Brdo,Ilirska Bistrica,0.13510112205799157,15669.633496586843
10097215,Male Loče,Ilirska Bistrica,0.1554890417463336,15726.867197606827
10147646,Limbuš,Maribor,0.8126858350686936,5679.886041639463
10147638,Laznica,Maribor,0.7604990010421637,4692.523902820769
10107032,Dražen Vrh - del,Maribor,0.2981253572973388,4907.811743902244
10093503,Stogovci,Maribor,0.20262677748511043,5636.940112265288
10124018,Črmlja,Ptuj,0.2165992413789597,3098.893828838413
10107652,Zgornja Bačkova,Maribor,0.1913762261522904,2853.0124223688363
10107393,Spodnja Bačkova,Maribor,0.18863161895898115,4324.883245349472
10099676,Glažuta,Ljubljana,0.19791886238373857,11220.414550141762
10128358,Hrovača,Ribnica,0.9773732714589388,636.8565037482557
10124735,Lovrenc na Dravskem polju,Ptuj,0.3634488789831869,4291.844973793891
10124913,Nadole,Ptuj,0.2002293251735183,4818.1408033708785
10131502,Ostrovica,Hrpelje-Kozina,0.15392854104151635,11320.326683358293
10120888,Ratje,Ljubljana,0.19955663859623782,12638.855727815013
10122015,Žvirče,Ljubljana,0.2154919733968057,15091.452017115716
10115990,Kančevci,Murska Sobota,0.3271377250784572,7942.941194096963
10116767,Stanjevci,Gornji Petrovci,0.4003355812480206,3050.2665447581176
10107563,Šetarova,Lenart,0.5602124410334479,2926.5576591028503
10113547,Krapje,Ljutomer,0.28848390413413055,5322.528410136765
10111820,Komanija,Ljubljana,0.6850565176631408,1652.6365850438042
10110254,Malo Trebeljevo,Ljubljana,0.4009948231189926,12381.147359167082
10110203,Križevska vas,Ljubljana,0.4564441474423303,8083.353855021371
10086787,Svetina,Celje,0.29598056865729905,7972.520632384841
10101131,Trava,Ljubljana,0.2236017567283942,13989.386817291843
10105170,Rožno,Krško,0.5112439007105256,6831.267987320186
10136512,Delnice,Ljubljana,0.28101936564097296,7958.6507751474865
10137942,Topolje,Ljubljana,0.23055445419012832,6538.130851082558
10137675,Lajše,Ljubljana,0.23274730677862418,7238.666070199738
10114985,Krnica,Ljubljana,0.1839949370914689,3339.323326612253
10147263,Zaplanina,Ljubljana,0.17354742602752976,8141.545298239921
10086523,Podgorje pod Čerinom,Celje,0.1983721826729553,6969.684921145485
10085926,Brezova,Celje,0.43260795556386894,3990.079075786611
10117542,Kostanjevica na Krasu,Nova Gorica,0.2402062035821897,10254.023632809029
10113369,Desnjak,Ljutomer,0.18578363494161995,6194.339811875706
10140854,Krn,Tolmin,0.25774540891058323,12023.073120470743
10093368,Rožički Vrh,Sveti Jurij ob Ščavnici,0.1627309571374416,4702.840378386495
10113601,Lukavci,Ljutomer,0.29386722358800843,3262.220455841541
10113857,Šalinci,Ljutomer,0.36071331843020216,4239.316188834253
10110394,Senožeti,Ljubljana,0.432730687132537,8103.779713361394
10086752,Strmec nad Dobrno,Velenje,0.17884357663919687,6134.100685792345
10146283,Črnova,Velenje,0.28170349208344775,5113.365403261654
10106737,Trobni Dol,Celje,0.16551480284248438,7938.53801964917
10148090,Starše,Starše,0.9999986132189447,0.0
10125804,Vintarovci,Destrnik,0.9999990738184268,0.0
10098211,Golice,Ljubljana,0.2410280055493228,15075.061481235072
10091128,Log,Ljubljana,0.26698476058589143,12897.295231834341
10134374,Koroška vas na Pohorju,Zreče,0.31481908238710293,5327.072087292867
10119642,Groblje pri Prekopi,Šentjernej,0.2089051853683453,3036.392060382298
10137900,Ševlje,Ljubljana,0.24371286369582437,7811.466483350006
10145384,Blodnik,Ljubljana,0.18850544890872512,10543.771515869912
10129974,Razbor,Sevnica,0.20673796981601447,9824.839790575415
10130166,Šmarčna,Sevnica,0.3099396113325652,7138.795958244907
10106303,Mrzlo Polje,Celje,0.12374758052437553,5954.553619654293
16567639,Čretvež,Zreče,0.2393989427301274,5660.955993806326
10102715,Jama,Kranj,0.3792107833862155,6985.792429183778
10147026,Studence,Celje,0.20246814393338425,7933.441217452975
10146801,Podkraj,Velenje,0.3999690390599024,6929.6442202063945
10106842,Zidani Most,Radeče,0.2067124372258112,4538.518652083482
10106320,Obrežje pri Zidanem Mostu,Radeče,0.23555408078016954,4201.396189243131
10113768,Rinčetova Graba,Ljutomer,0.68997068171189,3029.2129198298676
10133378,Okoška Gora,Slovenska Bistrica,0.2559678660300774,4546.108903957504
10086493,Pečovje,Celje,0.5131883521245283,2584.3976449043835
10135249,Grobelno - del,Šentjur,0.4525107670116562,4389.862346984265
10118387,Vrtoče,Miren-Kostanjevica,0.6313604023401133,2661.33298040336
10132673,Zgornji Razbor,Slovenj Gradec,0.16756455580990426,17177.442762360493
10127670,Javorje,Črna na Koroškem,0.10657651514811124,7743.967517172484
10091357,Poljane nad Blagovico,Ljubljana,0.27704168106484073,11841.629268693896
10140269,Završe pri Grobelnem,Šentjur,0.29689719995963687,5809.758792246562
10144191,Žubina,Ljubljana,0.19388641112021343,10443.693409102307
10143560,Sela pri Šumberku,Ljubljana,0.19890787906798219,9384.590912403255
10116465,Panovci,Murska Sobota,0.3198352577540487,6584.806812007385
