Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,huff_dominant_muni,huff_dominant_Pij,agreement,agreement_label
10083931,Ajdovščina,Ajdovščina,0.99790775170762,Ajdovščina,1.0,1,Huff and ML agree
10083940,Batuje,Ajdovščina,0.21066330670483668,Nova Gorica,0.2815038657589581,0,Huff and ML disagree
10083958,Bela,Ajdovščina,0.13818231308407575,Ajdovščina,0.180690757778924,1,Huff and ML agree
10083966,Brje,Ajdovščina,0.22073485218508598,Ajdovščina,0.2673588509932716,1,Huff and ML agree
10083974,Budanje,Ajdovščina,0.47609700693685936,Ajdovščina,0.4723059065858466,1,Huff and ML agree
10083982,Cesta,Ajdovščina,0.7360084425656324,Ajdovščina,0.8322344880345601,1,Huff and ML agree
10084008,Col,Ajdovščina,0.2488385832721748,Ajdovščina,0.2800361241391946,1,Huff and ML agree
10084016,Črniče,Nova Gorica,0.2028442558450453,Nova Gorica,0.3705736534005866,1,Huff and ML agree
10084024,Dobravlje,Ajdovščina,0.5191127518562721,Ajdovščina,0.5939355194378868,1,Huff and ML agree
10084032,Dolenje,Ajdovščina,0.7100690754350398,Ajdovščina,0.787466511103919,1,Huff and ML agree
10084059,Dolga Poljana,Ajdovščina,0.6153748748255693,Ajdovščina,0.6721866391660499,1,Huff and ML agree
10084067,Duplje,Ajdovščina,0.5025751390123608,Ajdovščina,0.4815781918980943,1,Huff and ML agree
10084075,Erzelj,Ajdovščina,0.28009508557609447,Ajdovščina,0.33694741561796,1,Huff and ML agree
10084083,Gaberje,Ajdovščina,0.2846472440764694,Ajdovščina,0.3391122036694935,1,Huff and ML agree
10084091,Goče,Ajdovščina,0.18542686537019434,Ajdovščina,0.2349490499591292,1,Huff and ML agree
10084105,Gojače,Ajdovščina,0.24782666224013436,Nova Gorica,0.2773526595593789,0,Huff and ML disagree
10084113,Gozd,Ajdovščina,0.13818231308407575,Ajdovščina,0.1995355435415187,1,Huff and ML agree
10084121,Gradišče pri Vipavi,Vipava,0.34263591494829426,Vipava,0.5438120936244747,1,Huff and ML agree
10084130,Grivče,Ajdovščina,0.8111837022733094,Ajdovščina,0.9072537252960192,1,Huff and ML agree
10084148,Kamnje,Ajdovščina,0.37067647255651776,Ajdovščina,0.4103311002304789,1,Huff and ML agree
10084156,Kovk,Ajdovščina,0.0722163972702153,Ljubljana,0.1459072059146966,0,Huff and ML disagree
10084164,Križna Gora,Ajdovščina,0.13889328028798154,Ajdovščina,0.1865973279548101,1,Huff and ML agree
10084172,Lokavec,Ajdovščina,0.7103969399779347,Ajdovščina,0.8199013101752002,1,Huff and ML agree
10084199,Lozice,Ajdovščina,0.08174810337770494,Postojna,0.139314277094969,0,Huff and ML disagree
10084202,Lože,Ajdovščina,0.2523965786430942,Vipava,0.2484492290418568,0,Huff and ML disagree
10084229,Male Žablje,Ajdovščina,0.5674672206785698,Ajdovščina,0.6528835236603463,1,Huff and ML agree
10084237,Malo Polje,Ajdovščina,0.18822265030287685,Ajdovščina,0.2271680433688538,1,Huff and ML agree
10084245,Manče,Ajdovščina,0.2130273598157291,Ajdovščina,0.2304053817121785,1,Huff and ML agree
10084253,Nanos,Ajdovščina,0.05483975112158332,Ljubljana,0.1579817598354913,0,Huff and ML disagree
10084261,Orehovica,Ajdovščina,0.1368877859437406,Ajdovščina,0.1584413147385188,1,Huff and ML agree
10084270,Otlica,Ajdovščina,0.06323845636653795,Ljubljana,0.1427545140374808,0,Huff and ML disagree
10084288,Plače,Ajdovščina,0.5878785955073106,Ajdovščina,0.6703938846760503,1,Huff and ML agree
10084296,Planina,Ajdovščina,0.48524349612925627,Ajdovščina,0.5833459519761984,1,Huff and ML agree
10084300,Podbreg,Ajdovščina,0.1165001380888762,Ajdovščina,0.1447804914875715,1,Huff and ML agree
10084318,Podgrič,Ajdovščina,0.1066635202849817,Postojna,0.1340300172776961,0,Huff and ML disagree
10084326,Podkraj,Ajdovščina,0.11356984468531793,Ljubljana,0.1640235153759426,0,Huff and ML disagree
10084334,Podnanos,Ajdovščina,0.15200335021457084,Ajdovščina,0.1704709643903895,1,Huff and ML agree
10084342,Podraga,Ajdovščina,0.17016145574998884,Ajdovščina,0.1929258592605741,1,Huff and ML agree
10084369,Poreče,Ajdovščina,0.15267110563197775,Ajdovščina,0.172171506969541,1,Huff and ML agree
10084377,Predmeja,Ajdovščina,0.10629651276481342,Ajdovščina,0.1872662274788529,1,Huff and ML agree
10084385,Ravne,Nova Gorica,0.21108736964915828,Nova Gorica,0.3583686046204674,1,Huff and ML agree
10084393,Sanabor,Ajdovščina,0.23883170977629342,Ajdovščina,0.2553607741994927,1,Huff and ML agree
10084407,Selo,Ajdovščina,0.2388614203518883,Nova Gorica,0.2658984114497772,0,Huff and ML disagree
10084415,Skrilje,Ajdovščina,0.5041332123614438,Ajdovščina,0.5836640810494695,1,Huff and ML agree
10084423,Slap,Ajdovščina,0.33110130561960227,Ajdovščina,0.3213699566186543,1,Huff and ML agree
10084431,Šmarje,Ajdovščina,0.2885591847908126,Ajdovščina,0.3309366919853196,1,Huff and ML agree
10084440,Stomaž,Ajdovščina,0.4303658734481442,Ajdovščina,0.5553893496520934,1,Huff and ML agree
10084458,Tevče,Ajdovščina,0.5191127518562721,Ajdovščina,0.6221513298125888,1,Huff and ML agree
10084466,Ustje,Ajdovščina,0.7411400335028939,Ajdovščina,0.8404036212107425,1,Huff and ML agree
10084474,Velike Žablje,Ajdovščina,0.4066990194693619,Ajdovščina,0.4837373520459376,1,Huff and ML agree
10084482,Vipava,Vipava,0.996650931508017,Vipava,1.0,1,Huff and ML agree
10084504,Vipavski Križ,Ajdovščina,0.6078449171482707,Ajdovščina,0.7082349328453325,1,Huff and ML agree
10084512,Višnje,Ajdovščina,0.19287398477284234,Ajdovščina,0.2108737037938271,1,Huff and ML agree
10084539,Vodice,Ajdovščina,0.07098380439990847,Ljubljana,0.1651268361341596,0,Huff and ML disagree
10084547,Vrhpolje,Ajdovščina,0.3718187331608997,Vipava,0.4560982181976007,0,Huff and ML disagree
10084555,Vrtovče,Ajdovščina,0.3728464259998918,Ajdovščina,0.4338876762703874,1,Huff and ML agree
10084563,Vrtovin,Ajdovščina,0.2872073879288839,Ajdovščina,0.3039624424111818,1,Huff and ML agree
10084571,Zavino,Ajdovščina,0.20888731375785313,Ajdovščina,0.2533168734348968,1,Huff and ML agree
10084580,Zemono,Vipava,0.4203669908724636,Vipava,0.6288585938593021,1,Huff and ML agree
10084598,Žapuže,Ajdovščina,0.8133873348900558,Ajdovščina,0.904143243749042,1,Huff and ML agree
10084601,Potoče,Ajdovščina,0.3736510946739356,Ajdovščina,0.4127703582548285,1,Huff and ML agree
10084610,Malovše,Ajdovščina,0.2303957278881232,Nova Gorica,0.2957906502054684,0,Huff and ML disagree
10084628,Hrašče,Ajdovščina,0.13687036256659835,Ajdovščina,0.1574601205004533,1,Huff and ML agree
10084636,Žagolič,Ajdovščina,0.2110528922329215,Ajdovščina,0.2465997039203452,1,Huff and ML agree
10084644,Kožmani,Ajdovščina,0.7854410097672643,Ajdovščina,0.8513731826262729,1,Huff and ML agree
10084652,Arnovo selo,Brežice,0.4827016927021085,Brežice,0.4636636147867191,1,Huff and ML agree
10084679,Artiče,Brežice,0.5213526785115227,Brežice,0.5331216829698944,1,Huff and ML agree
10084687,Bizeljska vas,Brežice,0.07393603124554177,Brežice,0.1348903917051234,1,Huff and ML agree
10084695,Bizeljsko,Brežice,0.0853703419480643,Brežice,0.1909336009878944,1,Huff and ML agree
10084709,Blatno,Brežice,0.26268316731122154,Brežice,0.3880975392362524,1,Huff and ML agree
10084717,Bojsno,Brežice,0.19058169410850007,Brežice,0.3383632428347997,1,Huff and ML agree
10084725,Boršt,Brežice,0.642451278422189,Brežice,0.7100097611896715,1,Huff and ML agree
10084733,Bračna vas,Brežice,0.08838842695983805,Brežice,0.1954806999258534,1,Huff and ML agree
10084741,Slovenska vas,Brežice,0.16159644234734927,Brežice,0.3926630283575494,1,Huff and ML agree
10084750,Brezje pri Bojsnem,Brežice,0.16836724787485768,Brežice,0.3255287232283458,1,Huff and ML agree
10084768,Brezje pri Veliki Dolini,Brežice,0.17361153105931348,Brežice,0.4183679002691538,1,Huff and ML agree
10084776,Brezovica na Bizeljskem,Brežice,0.06613867548761349,Brežice,0.2295368902541097,1,Huff and ML agree
10084784,Brežice,Brežice,0.9934373994037804,Brežice,1.0,1,Huff and ML agree
10084792,Brvi,Brežice,0.4060485842249067,Brežice,0.4992385391839992,1,Huff and ML agree
10084806,Bukošek,Brežice,0.675418719568561,Brežice,0.776649536599752,1,Huff and ML agree
10084814,Bukovje,Brežice,0.07358372868002434,Brežice,0.1479916048455897,1,Huff and ML agree
10084822,Bušeča vas,Brežice,0.35794597129206296,Brežice,0.4565196273104291,1,Huff and ML agree
10084849,Cerina,Brežice,0.6517776967195072,Brežice,0.7869423670460721,1,Huff and ML agree
10084857,Cerklje ob Krki,Brežice,0.4909223693610306,Brežice,0.5168596632325461,1,Huff and ML agree
10084865,Cirnik,Brežice,0.30386973667104317,Brežice,0.4985503210505936,1,Huff and ML agree
10084873,Cundrovec,Brežice,0.8365978372592967,Brežice,0.8886397532728106,1,Huff and ML agree
10084881,Curnovec,Brežice,0.42059694985606977,Brežice,0.4917452689645082,1,Huff and ML agree
10084890,Čatež ob Savi,Brežice,0.8665260430765561,Brežice,0.9106367071184244,1,Huff and ML agree
10084903,Čedem,Brežice,0.1611472873099249,Brežice,0.3469929693183223,1,Huff and ML agree
10084911,Črešnjice pri Cerkljah,Brežice,0.3989491397165309,Brežice,0.4188280583344501,1,Huff and ML agree
10084920,Dečno selo,Brežice,0.5694633218020799,Brežice,0.5921596352212083,1,Huff and ML agree
10084938,Dednja vas,Brežice,0.18349070535637985,Brežice,0.3369510593686198,1,Huff and ML agree
10084946,Dobeno,Brežice,0.5197576855745834,Brežice,0.6669154595316906,1,Huff and ML agree
10084954,Dobova,Brežice,0.5556668371501008,Brežice,0.6753708591275998,1,Huff and ML agree
10084962,Dolenja Pirošica,Brežice,0.4895940895365326,Brežice,0.5340448730995897,1,Huff and ML agree
10084989,Dolenje Skopice,Brežice,0.642451278422189,Brežice,0.6752909835357747,1,Huff and ML agree
10084997,Dramlja,Brežice,0.16770400704940125,Brežice,0.3342735140314282,1,Huff and ML agree
10085004,Drenovec pri Bukovju,Brežice,0.07616024878606606,Brežice,0.1780810639386307,1,Huff and ML agree
10085012,Dvorce,Brežice,0.8149312190881425,Brežice,0.8721612828262586,1,Huff and ML agree
10085039,Gabrje pri Dobovi,Brežice,0.6348451788661804,Brežice,0.7130470455085097,1,Huff and ML agree
10085047,Gaj,Brežice,0.31385922394273125,Brežice,0.5199146788926369,1,Huff and ML agree
10085055,Gazice,Brežice,0.31457496860025297,Brežice,0.402168914728756,1,Huff and ML agree
