Village_ID,Village_Name,ml_dominant_muni,ml_dominant_Pij,ahp_dominant_muni,ahp_dominant_Pij,ahp_dominant_dist_m,agreement
10083931,Ajdovščina,Ajdovščina,0.9968391010825105,Ajdovščina,0.9999999689307504,0.0,1
10083940,Batuje,Ajdovščina,0.22709063792114176,Nova Gorica,0.2815038657589581,10097.341200468936,0
10083958,Bela,Ajdovščina,0.13933648939493176,Ajdovščina,0.180690757778924,9661.388617288118,1
10083966,Brje,Ajdovščina,0.2340174702763307,Ajdovščina,0.2673588509932716,9870.5441580959,1
10083974,Budanje,Ajdovščina,0.4479565438928214,Ajdovščina,0.4723059065858466,3751.895718554174,1
10083982,Cesta,Ajdovščina,0.7176626177416078,Ajdovščina,0.8322344880345601,2579.6924625198394,1
10084008,Col,Ajdovščina,0.24968971820505378,Ajdovščina,0.2800361241391946,9016.44949549543,1
10084016,Črniče,Nova Gorica,0.2360148363732128,Nova Gorica,0.3705736534005866,10982.76436056076,1
10084024,Dobravlje,Ajdovščina,0.4892798220796643,Ajdovščina,0.5939355194378868,4713.587281791996,1
10084032,Dolenje,Ajdovščina,0.693548731966508,Ajdovščina,0.787466511103919,2918.7798444639498,1
10084059,Dolga Poljana,Ajdovščina,0.5791100981488008,Ajdovščina,0.6721866391660499,3715.575775991024,1
10084067,Duplje,Ajdovščina,0.4705106531314961,Ajdovščina,0.4815781918980943,3359.6108345715656,1
10084075,Erzelj,Ajdovščina,0.27884725819584216,Ajdovščina,0.33694741561796,8815.768841291594,1
10084083,Gaberje,Ajdovščina,0.28021297541470774,Ajdovščina,0.3391122036694935,8705.558089873604,1
10084091,Goče,Ajdovščina,0.1922588484261474,Ajdovščina,0.2349490499591292,8146.625068474392,1
10084105,Gojače,Ajdovščina,0.25002485904646166,Nova Gorica,0.2773526595593789,9286.307862967247,0
10084113,Gozd,Ajdovščina,0.13882250977330732,Ajdovščina,0.1995355435415187,12352.805307024231,1
10084121,Gradišče pri Vipavi,Vipava,0.3491393760136306,Vipava,0.5438120936244747,2010.078578789122,1
10084130,Grivče,Ajdovščina,0.8266842353415056,Ajdovščina,0.9072537252960192,1874.5505899773557,1
10084148,Kamnje,Ajdovščina,0.3549877491135875,Ajdovščina,0.4103311002304789,6899.366866144773,1
10084156,Kovk,Ajdovščina,0.07357448867415944,Ljubljana,0.1459072059146966,16231.865311387392,0
10084164,Križna Gora,Ajdovščina,0.13731747835583083,Ajdovščina,0.1865973279548101,13010.906407085964,1
10084172,Lokavec,Ajdovščina,0.6968016267838572,Ajdovščina,0.8199013101752002,2798.048405176336,1
10084199,Lozice,Ajdovščina,0.09756729432170431,Postojna,0.139314277094969,9551.545810432564,0
10084202,Lože,Ajdovščina,0.2521218376035994,Vipava,0.2484492290418568,3981.078192012458,0
10084229,Male Žablje,Ajdovščina,0.551107291339247,Ajdovščina,0.6528835236603463,4213.586508859994,1
10084237,Malo Polje,Ajdovščina,0.19623483551796958,Ajdovščina,0.2271680433688538,10987.181889854224,1
10084245,Manče,Ajdovščina,0.23140343515231282,Ajdovščina,0.2304053817121785,4861.252947234613,1
10084253,Nanos,Ajdovščina,0.0458449669807975,Ljubljana,0.1579817598354913,14695.14416929046,0
10084261,Orehovica,Ajdovščina,0.14159246111424925,Ajdovščina,0.1584413147385188,7324.488376322153,1
10084270,Otlica,Ajdovščina,0.06591395418259624,Ljubljana,0.1427545140374808,17338.994357939697,0
10084288,Plače,Ajdovščina,0.5617623388254683,Ajdovščina,0.6703938846760503,4113.260999388529,1
10084296,Planina,Ajdovščina,0.449912383592483,Ajdovščina,0.5833459519761984,5140.459282748175,1
10084300,Podbreg,Ajdovščina,0.12448226527715678,Ajdovščina,0.1447804914875715,8545.665831902055,1
