Rank,Municipality,GI_Final_NotWeighted
1,Ljubljana,1.0
2,Maribor,0.46753157225512687
3,Koper,0.2560969808418661
4,Ptuj,0.24823622393232792
5,Nova Gorica,0.2044542479380594
6,Celje,0.19605155039079572
7,Kranj,0.18962705712029876
8,Murska Sobota,0.16459647119707643
9,Novo mesto,0.14048227216001158
10,Postojna,0.1326529195806632
11,Sežana,0.12125464724223856
12,Piran,0.12105168905525363
13,Krško,0.11626626399641075
14,Kamnik,0.11609180019429972
15,Domžale,0.11099297754147157
16,Lendava,0.10934103579151115
17,Velenje,0.10869878445630705
18,Radovljica,0.10841923278155456
19,Brežice,0.10656045061029315
20,Slovenska Bistrica,0.10575438250494744
