Rank,Municipality,GI_AHP
1,Ljubljana,1.0000000009999999
2,Maribor,0.5623589960331291
3,Ptuj,0.3196851093471779
4,Koper,0.2464963653435195
5,Nova Gorica,0.23079248889960616
6,Celje,0.20069117972821057
7,Kranj,0.1949739102463873
8,Murska Sobota,0.16989564914685432
9,Novo mesto,0.15983728957791435
10,Sežana,0.1391966261015371
11,Postojna,0.1389249686053224
12,Velenje,0.11629705525949696
13,Kamnik,0.10364551539085205
14,Krško,0.10262473133146809
15,Brežice,0.10235759864999462
16,Lendava,0.10055214018548235
17,Rogaška Slatina,0.0976773602275706
18,Vrhnika,0.09697421919241735
19,Piran,0.09358497859461389
20,Litija,0.09305471259462572
