Municipality Rank;Municipality (AHP);Villages (AHP);Municipality (NW);Villages (NW)
1;Ljubljana;1222;Ljubljana;1022
2;Novo mesto;271;Novo mesto;202
3;Maribor;226;Maribor;185
4;Celje;218;Krško;167
5;Ptuj;210;Črnomelj;167
6;Krško;167;Ptuj;167
7;Črnomelj;149;Celje;158
8;Trebnje;126;Trebnje;128
9;Brežice;125;Brežice;122
10;Murska Sobota;116;Koper;110
11;Koper;113;Murska Sobota;98
12;Nova Gorica;110;Ivančna Gorica;98
13;Kranj;98;Sevnica;92
14;Sevnica;85;Slovenska Bistrica;91
15;Slovenska Bistrica;85;Šentjur;87
