Village_ID,Village_Name,euclidean_dominant_muni,euclidean_dominant_Pij,euclidean_dominant_dist_m,network_dominant_muni,network_dominant_Pij,network_dominant_dist_m,agreement,SIFRA,home_region
10127637,Črna na Koroškem,Črna na Koroškem,1.0,0.0,Črna na Koroškem,0.9999998646805548,0.0,1,16,Črna na Koroškem
10110084,Ljubljana,Ljubljana,1.0,0.0,Ljubljana,0.999999995608014,0.0,1,61,Ljubljana
10104505,Kalce,Krško,0.5326541416046136,5069.299754403955,Krško,0.4103603833115704,8701.792668562462,1,54,Krško
10104262,Gorenja Lepa vas,Krško,0.5990044005412388,4428.859898438875,Krško,0.4327381229983874,8395.28838438458,1,54,Krško
10133335,Mostečno,Slovenska Bistrica,0.13855878817110281,9097.51180268539,Ptuj,0.1615531698384029,2791.389550140693,0,198,Makole
10124824,Medvedce,Ptuj,0.1747808637598394,14358.47484937032,Ptuj,0.2130750520136943,4083.5839235760086,1,69,Majšperk
10123160,Gorenje,Postojna,0.3567310459386333,8127.302196916268,Postojna,0.4358472918348845,9309.818607783449,1,94,Postojna
10088470,Zavrh,Ljubljana,0.30555035463936825,24883.89037108145,Ljubljana,0.3031630910459569,8148.186911503358,1,150,Bloke
10090431,Zastava,Črnomelj,0.7251296348873777,3401.249770305027,Črnomelj,0.6693987296711479,5230.310306384454,1,17,Črnomelj
10089514,Mihelja vas,Črnomelj,0.46887919823820123,5284.9314092048535,Črnomelj,0.5247932570992879,5653.067694980449,1,17,Črnomelj
10112915,Škrlovica,Ljubljana,0.20264299279308817,29413.881093796514,Ljubljana,0.2726679646275024,4859.988195172763,1,134,Velike Lašče
10128439,Junčje,Ljubljana,0.21020883768828383,29906.339478445036,Ljubljana,0.2603025959948765,5163.528812387917,1,104,Ribnica
10090920,Jasen,Ljubljana,0.220992824353158,18980.937832467604,Ljubljana,0.3105634081296837,5000.161275779923,1,23,Domžale
10125901,Zgornja Hajdina,Hajdina,1.0,0.0,Hajdina,0.9999979431744752,0.0,1,159,Hajdina
10088461,Zales,Ljubljana,0.2845226450584442,25637.761212711222,Ljubljana,0.2500779446199276,8796.937785221135,1,150,Bloke
10119022,Dolenjske Toplice,Dolenjske Toplice,1.0,0.0,Dolenjske Toplice,0.9999997918957906,0.0,1,157,Dolenjske Toplice
10122996,Parecag,Koper,0.35913607550870486,10069.359463242932,Piran,0.3301899372954892,8623.082188764352,0,90,Piran
10125910,Zgornja Pristava,Ptuj,0.4372236161518535,8174.717120488023,Ptuj,0.4212371882166827,6209.304862001796,1,135,Videm
10146054,Tirna,Litija,0.20565349929488605,7982.2804385714235,Ljubljana,0.1659630771858657,10614.417571783606,0,142,Zagorje ob Savi
10145490,Dolenja vas,Zagorje ob Savi,0.8785198256605073,830.0602387778853,Zagorje ob Savi,0.8047538620307204,1571.597292335204,1,142,Zagorje ob Savi
10147913,Radizel,Maribor,0.3357470874472372,10086.9588082831,Maribor,0.3783933417523871,3391.621474554135,1,160,Hoče-Slivnica
10139058,Kristan Vrh,Rogaška Slatina,0.5177641107255443,3994.3711645264016,Rogaška Slatina,0.4477542655047298,5736.830107038371,1,124,Šmarje pri Jelšah
10117232,Deskle,Nova Gorica,0.3658891236639776,11085.60151728358,Nova Gorica,0.3407341970595774,4842.401974962773,1,44,Kanal
10140951,Ljubinj,Tolmin,0.7279913832190287,3578.435412299627,Tolmin,0.725127831336215,5414.627017344138,1,128,Tolmin
10092558,Trbonje,Dravograd,0.18355773576205098,5978.135160733655,Muta,0.2153915256107053,5580.68897302286,0,25,Dravograd
10123879,Biš,Ptuj,0.15912226815021638,13371.38754954025,Ptuj,0.226681626921395,3510.240324410041,1,185,Trnovska vas
10140307,Zgornje Negonje,Rogaška Slatina,0.519853443699671,4207.386362101774,Rogaška Slatina,0.4321488118354963,7161.704000668957,1,106,Rogaška Slatina
10123925,Bratislavci,Juršinci,0.24288504026440877,3740.0534755535245,Ptuj,0.2426598153723519,4931.469251720485,0,24,Dornava
10128960,Zamostec,Sodražica,0.6154796096604025,1047.493198068608,Sodražica,0.6104091925743811,1316.6917162374325,1,179,Sodražica
10105145,Ravno,Krško,0.1824929036397002,11541.157697562234,Krško,0.1998409190675267,8060.976529261131,1,54,Krško
10110815,Spodnja Senica,Medvode,0.31040170305157766,2394.013366712893,Ljubljana,0.3666407584964499,3067.0886180360308,0,71,Medvode
10110700,Polje pri Vodicah,Ljubljana,0.4315512423780374,12343.853571717384,Ljubljana,0.4618742806948496,3163.1661289318745,1,138,Vodice
10110785,Skaručna,Ljubljana,0.49229201113237453,11474.808974444846,Ljubljana,0.5570799044586884,4153.744969613556,1,138,Vodice
10146836,Podvrh,Velenje,0.13948752057605537,9656.673392012386,Velenje,0.1388381782804382,3193.24756921251,1,151,Braslovče
10146569,Liboje,Celje,0.41873460794455125,5952.428076003943,Celje,0.4139269930743822,6852.507412770445,1,190,Žalec
10117372,Gradišče nad Prvačino,Renče-Vogrsko,0.3074788174498254,2761.2316092642427,Nova Gorica,0.2772500761744029,4943.51954486474,0,84,Nova Gorica
10111773,Kamnik pod Krimom,Ljubljana,0.4933270052186649,13010.518821323,Ljubljana,0.5318000009045726,6704.439806972663,1,8,Brezovica
10141842,Arčelca,Ljubljana,0.14325285585141473,36672.46843341746,Ljubljana,0.1747012313781378,6673.375918672992,1,130,Trebnje
10089565,Močile,Črnomelj,0.21477902927413067,12326.138892613533,Črnomelj,0.1910542518005803,16670.467152577614,1,17,Črnomelj
10136628,Dorfarje,Kranj,0.3494223038680524,5935.722365474989,Kranj,0.3219932696468391,3892.510158178616,1,122,Škofja Loka
10113628,Moravci v Slov. goricah,Ptuj,0.16808662733539464,16909.652302753006,Ptuj,0.1786211494935734,6298.504377001534,1,63,Ljutomer
10137314,Opale,Ljubljana,0.20385463342200402,29020.917990304857,Ljubljana,0.2743593669955237,5922.377093987428,1,147,Žiri
10137462,Poljane nad Škofjo Loko,Ljubljana,0.23383966340402323,25918.181668473582,Ljubljana,0.2394539188207252,3722.382459617577,1,27,Gorenja vas-Poljane
10138272,Žirovski Vrh Sv. Antona,Gorenja vas-Poljane,0.24624525093320324,2660.3007348794235,Gorenja vas-Poljane,0.2018058135438454,4323.589486203095,1,27,Gorenja vas-Poljane
10135567,Ostrožno pri Ponikvi - del,Šmarje pri Jelšah,0.18033687252790725,5234.166600329034,Šentjur,0.1238587020594267,8805.893765763481,0,120,Šentjur
10135257,Grušce,Slovenske Konjice,0.28691651097151283,5134.417298973663,Celje,0.1664908800234603,10350.88978905233,0,120,Šentjur
10145848,Potoška vas,Trbovlje,0.4769586860312162,2795.37135279018,Zagorje ob Savi,0.3822718943415046,3838.780553258363,0,142,Zagorje ob Savi
10139511,Pristava pri Mestinju,Rogaška Slatina,0.40144375431909307,5128.477454371814,Rogaška Slatina,0.3210110408952115,5554.215880562483,1,92,Podčetrtek
10130573,Coljava,Komen,0.21306759691344343,2917.2761268004783,Sežana,0.1997215632283122,4712.82551808574,0,49,Komen
10147824,Pivola,Maribor,0.4720908095199299,6650.597116049054,Hoče-Slivnica,0.4212458438241522,2083.905707007495,0,160,Hoče-Slivnica
10148251,Zgornji Duplek,Maribor,0.3435291344608783,9022.150519693185,Maribor,0.4681929860707146,1916.524956871058,1,26,Duplek
10115663,Bukovnica,Murska Sobota,0.2519830939456195,12774.25618186828,Murska Sobota,0.2645165384894565,5822.092235954675,1,78,Moravske Toplice
10122082,Cvetkovci,Ormož,0.23778632448014067,6457.445315293038,Ormož,0.2496745705885939,4767.894473328959,1,87,Ormož
10096324,Godovič,Idrija,0.23987866112547618,6137.553339890416,Ljubljana,0.2020960704636764,10507.760710900431,0,36,Idrija
