SIFRA,NAZIV,commuting_self_flow,commuting_dominant_external_dest,commuting_dominant_external_flow,commuting_is_centre,commuting_ultimate_centre,huff_majority_centre_name,huff_majority_centre,agreement,pattern
49,Komen,336.0,111,326.0,True,49,Komen,49,1,Agree
126,Šoštanj,1041.0,133,1689.0,False,133,Šoštanj,126,0,"Pattern 1: Huff self, Commuting external"
166,Križevci,279.0,63,282.0,False,63,Murska Sobota,80,0,"Pattern 3: both external, different centre"
146,Železniki,1575.0,122,506.0,True,146,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
1,Ajdovščina,4255.0,84,1310.0,True,1,Ajdovščina,1,1,Agree
131,Tržič,2316.0,52,1447.0,True,131,Tržič,131,1,Agree
24,Dornava,222.0,96,373.0,False,96,Ptuj,96,1,Agree
150,Bloke,148.0,61,139.0,True,150,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
151,Braslovče,457.0,61,393.0,True,151,Braslovče,151,1,Agree
133,Velenje,8437.0,61,1680.0,True,133,Velenje,133,1,Agree
182,Sveti Andraž v Slov. goricah,71.0,96,90.0,False,96,Ptuj,96,1,Agree
67,Luče,224.0,83,69.0,True,67,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
156,Dobrovnik,110.0,59,89.0,True,156,Dobrovnik,156,1,Agree
10,Tišina,205.0,80,567.0,False,80,Murska Sobota,80,1,Agree
30,Gornji Grad,259.0,61,132.0,True,30,Gornji Grad,30,1,Agree
46,Kobarid,612.0,128,412.0,True,46,Kobarid,46,1,Agree
26,Duplek,477.0,70,1457.0,False,70,Maribor,70,1,Agree
159,Hajdina,259.0,96,453.0,False,96,Ptuj,96,1,Agree
157,Dolenjske Toplice,326.0,85,730.0,False,85,Dolenjske Toplice,157,0,"Pattern 1: Huff self, Commuting external"
5,Borovnica,375.0,61,1064.0,False,61,Borovnica,5,0,"Pattern 1: Huff self, Commuting external"
21,Dobrova-Polhov Gradec,834.0,61,1880.0,False,61,Ljubljana,61,1,Agree
129,Trbovlje,2455.0,61,1846.0,True,129,Trbovlje,129,1,Agree
50,Koper,14711.0,61,2454.0,True,50,Koper,50,1,Agree
167,Lovrenc na Pohorju,307.0,70,466.0,False,70,Lovrenc na Pohorju,167,0,"Pattern 1: Huff self, Commuting external"
149,Bistrica ob Sotli,101.0,9,59.0,True,149,Bistrica ob Sotli,149,1,Agree
138,Vodice,446.0,61,1170.0,False,61,Ljubljana,61,1,Agree
52,Kranj,11674.0,61,6109.0,True,52,Kranj,52,1,Agree
158,Grad,101.0,80,208.0,False,80,Murska Sobota,80,1,Agree
18,Destrnik,138.0,96,358.0,False,96,Ptuj,96,1,Agree
127,Štore,416.0,11,731.0,False,11,Celje,11,1,Agree
201,Renče-Vogrsko,419.0,84,607.0,False,84,Renče-Vogrsko,201,0,"Pattern 1: Huff self, Commuting external"
144,Zreče,1403.0,114,521.0,True,144,Zreče,144,1,Agree
154,Dobje,74.0,120,116.0,False,120,Celje,11,0,"Pattern 3: both external, different centre"
163,Jezersko,62.0,52,81.0,False,52,Jezersko,163,0,"Pattern 1: Huff self, Commuting external"
169,Miklavž na Dravskem polju,449.0,70,1507.0,False,70,Maribor,70,1,Agree
173,Polzela,499.0,11,443.0,True,173,Velenje,133,0,"Pattern 2: Commuting self, Huff external"
176,Razkrižje,86.0,63,146.0,False,63,Ljutomer,63,1,Agree
184,Tabor,105.0,61,166.0,False,61,Tabor,184,0,"Pattern 1: Huff self, Commuting external"
187,Velika Polana,82.0,59,101.0,False,59,Velika Polana,187,0,"Pattern 1: Huff self, Commuting external"
188,Veržej,108.0,63,121.0,False,63,Veržej,188,0,"Pattern 1: Huff self, Commuting external"
189,Vransko,206.0,61,241.0,False,61,Vransko,189,0,"Pattern 1: Huff self, Commuting external"
191,Žetale,71.0,96,134.0,False,96,Ptuj,96,1,Agree
194,Šmartno pri Litiji,624.0,61,909.0,False,61,Litija,60,0,"Pattern 3: both external, different centre"
197,Kostanjevica na Krki,224.0,85,229.0,False,85,Kostanjevica na Krki,197,0,"Pattern 1: Huff self, Commuting external"
198,Makole,117.0,113,234.0,False,113,Ptuj,96,0,"Pattern 3: both external, different centre"
199,Mokronog-Trebelno,299.0,85,335.0,False,85,Novo mesto,85,1,Agree
25,Dravograd,1197.0,112,710.0,True,25,Dravograd,25,1,Agree
27,Gorenja vas-Poljane,1074.0,122,772.0,True,27,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
28,Gorišnica,322.0,96,569.0,False,96,Ptuj,96,1,Agree
29,Gornja Radgona,1476.0,70,293.0,True,29,Gornja Radgona,29,1,Agree
33,Šalovci,64.0,80,173.0,False,80,Murska Sobota,80,1,Agree
35,Hrpelje-Kozina,591.0,50,567.0,True,35,Hrpelje-Kozina,35,1,Agree
37,Ig,758.0,61,1891.0,False,61,Ljubljana,61,1,Agree
39,Ivančna Gorica,2331.0,61,3473.0,False,61,Ivančna Gorica,39,0,"Pattern 1: Huff self, Commuting external"
40,Izola,2444.0,50,2218.0,True,40,Izola,40,1,Agree
43,Kamnik,4929.0,61,4389.0,True,43,Kamnik,43,1,Agree
47,Kobilje,21.0,80,69.0,False,80,Kobilje,47,0,"Pattern 1: Huff self, Commuting external"
48,Kočevje,3352.0,61,1239.0,True,48,Kočevje,48,1,Agree
53,Kranjska Gora,745.0,41,456.0,True,53,Kranjska Gora,53,1,Agree
105,Rogašovci,169.0,80,237.0,False,80,Rogašovci,105,0,"Pattern 1: Huff self, Commuting external"
3,Bled,1292.0,61,612.0,True,3,Bled,3,1,Agree
6,Bovec,836.0,61,111.0,True,6,Bovec,6,1,Agree
8,Brezovica,1358.0,61,3324.0,False,61,Ljubljana,61,1,Agree
9,Brežice,4635.0,54,1833.0,True,9,Brežice,9,1,Agree
14,Cerkno,798.0,36,542.0,True,14,Cerkno,14,1,Agree
15,Črenšovci,308.0,80,340.0,False,80,Murska Sobota,80,1,Agree
17,Črnomelj,3050.0,85,656.0,True,17,Črnomelj,17,1,Agree
19,Divača,344.0,111,422.0,False,111,Divača,19,0,"Pattern 1: Huff self, Commuting external"
31,Gornji Petrovci,117.0,80,279.0,False,80,Gornji Petrovci,31,0,"Pattern 1: Huff self, Commuting external"
32,Grosuplje,3448.0,61,4710.0,False,61,Ljubljana,61,1,Agree
34,Hrastnik,1376.0,61,771.0,True,34,Trbovlje,129,0,"Pattern 2: Commuting self, Huff external"
36,Idrija,3342.0,61,674.0,True,36,Idrija,36,1,Agree
42,Juršinci,124.0,96,269.0,False,96,Juršinci,42,0,"Pattern 1: Huff self, Commuting external"
44,Kanal,694.0,84,650.0,True,44,Nova Gorica,84,0,"Pattern 2: Commuting self, Huff external"
51,Kozje,253.0,11,125.0,True,51,Kozje,51,1,Agree
66,Loški Potok,180.0,61,160.0,True,66,Ljubljana,61,0,"Pattern 2: Commuting self, Huff external"
74,Mežica,582.0,103,253.0,True,74,Mežica,74,1,Agree
89,Pesnica,470.0,70,1395.0,False,70,Maribor,70,1,Agree
95,Preddvor,340.0,52,491.0,False,52,Kranj,52,1,Agree
101,Radlje ob Dravi,1106.0,81,218.0,True,101,Radlje ob Dravi,101,1,Agree
102,Radovljica,3118.0,61,1586.0,True,102,Radovljica,102,1,Agree
106,Rogaška Slatina,2774.0,124,409.0,True,106,Rogaška Slatina,106,1,Agree
161,Hodoš,9.0,80,24.0,False,80,Hodoš,161,0,"Pattern 1: Huff self, Commuting external"
115,Starše,278.0,70,721.0,False,70,Ptuj,96,0,"Pattern 3: both external, different centre"
116,Sveti Jurij ob Ščavnici,178.0,29,195.0,False,29,Sveti Jurij ob Ščavnici,116,0,"Pattern 1: Huff self, Commuting external"
120,Šentjur,2728.0,11,2489.0,True,120,Šentjur,120,1,Agree
121,Škocjan,230.0,85,602.0,False,85,Novo mesto,85,1,Agree
