rank,NotWeighted_Muni_Name,NotWeighted_GI,AHP_Muni_Name,AHP_GI
1,Ljubljana,1.0,Ljubljana,1.0000000009999999
2,Maribor,0.46753157225512687,Maribor,0.5623589960331291
3,Koper,0.2560969808418661,Ptuj,0.3196851093471779
4,Ptuj,0.24823622393232792,Koper,0.2464963653435195
5,Nova Gorica,0.2044542479380594,Nova Gorica,0.23079248889960616
6,Celje,0.19605155039079572,Celje,0.20069117972821057
7,Kranj,0.18962705712029876,Kranj,0.1949739102463873
8,Murska Sobota,0.16459647119707643,Murska Sobota,0.16989564914685432
9,Novo mesto,0.14048227216001158,Novo mesto,0.15983728957791435
10,Postojna,0.1326529195806632,Sežana,0.1391966261015371
11,Sežana,0.12125464724223856,Postojna,0.1389249686053224
12,Piran,0.12105168905525363,Velenje,0.11629705525949696
13,Krško,0.11626626399641075,Kamnik,0.10364551539085205
14,Kamnik,0.11609180019429972,Krško,0.10262473133146809
15,Domžale,0.11099297754147157,Brežice,0.10235759864999462
16,Lendava,0.10934103579151115,Lendava,0.10055214018548235
17,Velenje,0.10869878445630705,Rogaška Slatina,0.0976773602275706
18,Radovljica,0.10841923278155456,Vrhnika,0.09697421919241735
19,Brežice,0.10656045061029315,Piran,0.09358497859461389
20,Slovenska Bistrica,0.10575438250494744,Litija,0.09305471259462572
